Airports, Time Slot, Taxi Out Delay
Bozeman Yellowstone International Airport (Gallatin Field Airport),Night,29.62
John F. Kennedy International Airport (New York International Airport),Evening,29.463765588209647
Durango-La Plata County Airport,Night,28.647058823529413
Kalamazoo/Battle Creek International Airport,Night,27.294117647058822
LaGuardia Airport (Marine Air Terminal),Afternoon,27.293443841727015
John F. Kennedy International Airport (New York International Airport),Afternoon,26.84273110855389
Range Regional Airport (Chisholm-Hibbing Airport),Night,26.75
LaGuardia Airport (Marine Air Terminal),Morning,26.468251342478304
LaGuardia Airport (Marine Air Terminal),Evening,26.394995722840033
Sloulin Field International Airport,Morning,26.129545454545454
John F. Kennedy International Airport (New York International Airport),Morning,25.76573798673834
Great Falls International Airport,Night,24.97872340425532
Ithaca Tompkins Regional Airport,Morning,24.944444444444443
Redding Municipal Airport,Morning,24.38888888888889
Philadelphia International Airport,Evening,24.223146944083226
Cincinnati/Northern Kentucky International Airport,Night,24.147727272727273
Devils Lake Regional Airport,Morning,23.975609756097562
Mammoth Yosemite Airport,Morning,23.676470588235293
Sioux Gateway Airport,Night,23.307692307692307
Bangor International Airport,Night,23.285714285714285
Eagle County Regional Airport,Morning,22.771704180064308
Rapid City Regional Airport,Night,22.692307692307693
Sloulin Field International Airport,Night,22.63768115942029
Brainerd Lakes Regional Airport,Afternoon,22.46062992125984
St. Cloud Regional Airport,Morning,22.448275862068964
Augusta Regional Airport (Bush Field),Evening,22.32851985559567
Gunnison-Crested Butte Regional Airport,Morning,22.07079646017699
Brainerd Lakes Regional Airport,Evening,22.0
Newark Liberty International Airport,Evening,21.737156848895793
Philadelphia International Airport,Morning,21.58012350443844
Yellowstone Regional Airport,Morning,21.302419354838708
University Park Airport,Night,21.0
Redding Municipal Airport,Night,20.911475409836065
Falls International Airport,Morning,20.860759493670887
City of Colorado Springs Municipal Airport,Evening,20.78723404255319
Gen. Edward Lawrence Logan International Airport,Evening,20.728490440195642
Philadelphia International Airport,Afternoon,20.68894901338807
Ford Airport,Morning,20.68840579710145
MBS International Airport,Night,20.666666666666668
Chicago O'Hare International Airport,Afternoon,20.624653533493312
Rhinelander-Oneida County Airport,Morning,20.5565749235474
Chippewa County International Airport,Morning,20.548387096774192
Fresno Yosemite International Airport,Night,20.49425287356322
Capital Region International Airport ( Lansing Capital City),Night,20.466666666666665
South Bend International Airport (South Bend Regional),Night,20.16949152542373
Falls International Airport,Night,20.133333333333333
City of Colorado Springs Municipal Airport,Morning,20.097641025641025
Charlotte Douglas International Airport,Morning,20.095897097246546
Newark Liberty International Airport,Morning,20.06974454634955
Gen. Edward Lawrence Logan International Airport,Morning,20.048841392445244
The Eastern Iowa Airport,Night,20.013698630136986
Pensacola International Airport (Pensacola Gulf Coast Regional Airport),Night,20.0
Gen. Edward Lawrence Logan International Airport,Afternoon,19.982157362538864
Minot International Airport,Morning,19.96205630354957
Chicago O'Hare International Airport,Evening,19.806680409993223
Pellston Regional Airport of Emmet County,Morning,19.781437125748504
Yampa Valley Airport (Yampa Valley Regional),Evening,19.75
Helena Regional Airport,Night,19.732954545454547
Jackson Hole Airport,Morning,19.715143428952636
Evansville Regional Airport,Night,19.705882352941178
Manhattan Regional Airport,Night,19.576
Newark Liberty International Airport,Afternoon,19.528158254483074
Charlotte Douglas International Airport,Afternoon,19.468097325071785
Charlotte Douglas International Airport,Evening,19.428180619644035
Ronald Reagan Washington National Airport,Evening,19.368117262854106
Bemidji Regional Airport,Morning,19.357142857142858
General Wayne A. Downing Peoria International Airport,Night,19.35672514619883
